"","자치구 기준일","year","month","day","종로구","중구","용산구","성동구","광진구","동대문구","중랑구","성북구","강북구","도봉구","노원구","은평구","서대문구","마포구","양천구","강서구","구로구","금천구","영등포구","동작구","관악구","서추구","강남구","송파구","강동구","기타"
"535","2020.08.30.","2020","08","30",4,2,0,2,6,6,7,7,3,2,18,9,5,3,9,6,6,2,13,15,8,3,4,12,1,13
"536","2020.08.29.","2020","08","29",0,3,1,0,5,2,4,6,4,6,7,1,5,2,3,4,2,3,5,12,10,6,4,14,2,7
"537","2020.08.28.","2020","08","28",3,2,4,0,4,2,4,7,7,4,17,9,2,12,3,4,7,1,7,8,14,3,4,16,7,11
"538","2020.08.27.","2020","08","27",2,1,3,0,1,0,4,8,0,2,18,4,4,2,2,10,8,3,0,6,7,2,2,8,2,8
"539","2020.08.26.","2020","08","26",4,1,2,5,7,4,5,5,5,1,6,9,6,8,8,12,3,7,14,3,9,5,7,6,5,9
"540","2020.08.25.","2020","08","25",1,0,3,2,6,3,13,10,2,6,17,6,4,2,6,2,2,2,4,1,8,5,5,8,10,14
"541","2020.08.24.","2020","08","24",2,3,5,2,1,4,8,8,2,0,3,6,2,3,9,6,4,3,3,1,3,1,5,5,4,4
"542","2020.08.23.","2020","08","23",1,1,4,1,2,4,5,15,4,3,14,11,1,4,4,7,2,1,6,9,5,7,7,5,12,12
"543","2020.08.22.","2020","08","22",2,2,2,3,7,6,2,8,6,1,4,8,6,8,6,7,8,2,1,4,4,4,5,12,3,6
"544","2020.08.21.","2020","08","21",3,4,2,4,3,6,7,9,2,6,6,10,0,2,2,14,5,2,1,2,3,6,5,12,4,7
"545","2020.08.20.","2020","08","20",4,0,0,0,2,5,3,18,9,2,9,11,4,2,2,4,2,0,2,5,3,3,5,14,15,10
"546","2020.08.19.","2020","08","19",4,1,4,2,3,6,9,20,8,4,9,6,3,8,4,2,6,1,3,4,6,6,6,11,8,8
"547","2020.08.18.","2020","08","18",0,1,0,0,4,6,9,22,8,3,10,5,1,3,3,2,2,1,1,11,2,1,2,10,5,16
"548","2020.08.17.","2020","08","17",2,1,3,1,3,3,5,18,3,3,15,2,0,4,1,6,0,0,0,1,0,0,1,8,5,6
"549","2020.08.16.","2020","08","16",0,0,4,1,7,6,8,39,9,9,14,5,1,0,2,7,0,3,1,1,6,2,3,7,2,13
"550","2020.08.15.","2020","08","15",0,1,1,1,0,3,1,15,0,1,4,1,3,6,1,2,0,0,2,2,2,8,5,6,5,1
"551","2020.08.14.","2020","08","14",0,1,0,0,7,2,1,8,1,1,0,2,1,0,1,2,0,0,0,2,1,4,0,0,0,1
"552","2020.08.13.","2020","08","13",1,2,1,1,2,0,0,2,0,0,1,4,0,0,2,3,0,0,0,0,1,2,0,0,0,1
"553","2020.08.12.","2020","08","12",0,0,0,1,0,0,0,0,1,1,0,3,0,0,0,0,0,0,1,2,1,1,1,0,0,5
"554","2020.08.11.","2020","08","11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,1,0,0,0,2
"555","2020.08.10.","2020","08","10",0,1,1,0,1,1,0,0,0,0,1,1,1,1,0,0,2,0,0,0,1,0,0,1,0,1
"556","2020.08.09.","2020","08","09",1,0,0,0,1,0,0,3,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,4
"557","2020.08.08.","2020","08","08",0,0,1,1,0,0,0,2,0,1,0,0,0,1,0,1,0,0,1,1,0,2,3,0,0,2
"558","2020.08.07.","2020","08","07",0,0,2,1,0,0,0,1,0,2,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1
"559","2020.08.06.","2020","08","06",0,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2
"560","2020.08.05.","2020","08","05",0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0
"561","2020.08.04.","2020","08","04",0,2,0,0,0,0,0,1,0,1,0,0,0,1,0,2,0,0,0,0,1,0,0,1,0,0
"562","2020.08.03.","2020","08","03",0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
"563","2020.08.02.","2020","08","02",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0
"564","2020.08.01.","2020","08","01",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
"565","2020.07.31.","2020","07","31",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2,2,1,1,1,0
"566","2020.07.30.","2020","07","30",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
"567","2020.07.29.","2020","07","29",0,1,0,0,0,0,0,1,2,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0
"568","2020.07.28.","2020","07","28",0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,3
"569","2020.07.27.","2020","07","27",1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,1,1,0
"570","2020.07.26.","2020","07","26",0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,2,0,1
"571","2020.07.25.","2020","07","25",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,0,1,0,1,0,0,0,3,0,0
"572","2020.07.24.","2020","07","24",0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,1,0,1,1,1,0,0,11,0,1
"573","2020.07.23.","2020","07","23",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,5,0,1
"574","2020.07.22.","2020","07","22",1,1,0,1,1,1,0,0,0,0,0,3,0,0,0,3,0,0,0,1,0,0,0,5,0,0
"575","2020.07.21.","2020","07","21",1,1,0,2,1,0,0,1,0,0,0,1,1,0,0,10,0,1,0,0,0,0,0,1,1,0
"576","2020.07.20.","2020","07","20",0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
"577","2020.07.19.","2020","07","19",0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,2,0,1,3,0,0
"578","2020.07.18.","2020","07","18",0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,2,0,0
"579","2020.07.17.","2020","07","17",0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,3,0,0
"580","2020.07.16.","2020","07","16",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,1,0
"581","2020.07.15.","2020","07","15",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,1,1,0
"582","2020.07.14.","2020","07","14",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,2,1,0,0
"583","2020.07.13.","2020","07","13",0,0,0,0,0,1,0,1,0,0,1,0,0,2,0,0,0,0,0,1,2,1,0,0,3,1
"584","2020.07.12.","2020","07","12",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,2,0
"585","2020.07.11.","2020","07","11",0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,2
"586","2020.07.10.","2020","07","10",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,0,1,1
"587","2020.07.09.","2020","07","09",0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0
"588","2020.07.08.","2020","07","08",0,0,0,0,1,0,1,0,0,0,2,0,1,4,0,0,0,0,0,1,1,0,0,0,0,0
"589","2020.07.07.","2020","07","07",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
"590","2020.07.06.","2020","07","06",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
"591","2020.07.05.","2020","07","05",0,1,0,0,0,0,5,0,0,0,1,0,0,1,0,0,0,0,1,2,2,1,1,1,0,0
"592","2020.07.04.","2020","07","04",1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0
"593","2020.07.03.","2020","07","03",0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,1,1,1,0,1,1
"594","2020.07.02.","2020","07","02",0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,7,0,0,0,2,0
"595","2020.07.01.","2020","07","01",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,4,1,0,0,0,0
"596","2020.06.30.","2020","06","30",0,0,0,0,0,0,0,0,0,0,1,1,0,3,0,0,0,1,0,0,0,0,0,0,0,2
"597","2020.06.29.","2020","06","29",0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,1,0,1
"598","2020.06.28.","2020","06","28",0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,2,0,5,0,1,1,0,0
"599","2020.06.27.","2020","06","27",0,1,0,0,1,1,1,0,0,0,1,1,0,0,0,0,1,0,0,2,7,1,0,0,0,0
"600","2020.06.26.","2020","06","26",0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,1,11,0,0,0,0,1
"601","2020.06.25.","2020","06","25",1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,2,0,1,0,0,0
"602","2020.06.24.","2020","06","24",0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,1,0,1,0,4,0,0,0,0,1
"603","2020.06.23.","2020","06","23",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0
"604","2020.06.22.","2020","06","22",0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,4,0,0,0,0,0,0,1,0,0
"605","2020.06.21.","2020","06","21",0,0,0,2,0,0,0,0,0,2,2,0,0,0,0,1,0,0,3,1,1,1,0,0,0,1
"606","2020.06.20.","2020","06","20",0,0,0,0,0,1,1,0,0,2,0,1,1,1,2,1,0,0,2,1,0,1,0,0,0,3
"607","2020.06.19.","2020","06","19",0,1,0,0,1,0,1,1,1,2,0,1,1,1,2,2,0,0,1,0,1,1,0,0,0,1
"608","2020.06.18.","2020","06","18",0,0,0,0,0,0,0,0,0,11,0,2,0,0,0,2,1,0,3,0,2,1,1,0,0,1
"609","2020.06.17.","2020","06","17",0,0,0,0,0,0,1,0,0,2,0,1,0,1,0,0,0,0,0,2,2,1,1,1,0,0
"610","2020.06.16.","2020","06","16",0,0,2,0,0,0,0,0,0,1,0,3,1,0,0,0,4,0,0,1,0,0,0,0,0,0
"611","2020.06.15.","2020","06","15",0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,1
"612","2020.06.14.","2020","06","14",1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,2,0,1,2,0,2,1,0,0,0,0
"613","2020.06.13.","2020","06","13",1,0,1,0,0,0,3,1,2,12,1,0,0,0,2,2,1,1,1,0,1,0,0,0,1,0
"614","2020.06.12.","2020","06","12",0,0,0,0,0,0,2,0,0,1,1,1,0,0,1,3,1,3,5,0,5,1,0,0,1,0
"615","2020.06.11.","2020","06","11",0,0,0,0,1,0,0,1,0,1,1,1,0,0,3,0,2,4,0,1,1,1,0,1,0,1
"616","2020.06.10.","2020","06","10",0,1,0,1,0,0,0,0,0,0,0,0,0,1,2,0,1,1,1,2,2,0,0,0,0,1
"617","2020.06.09.","2020","06","09",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3,9,0,0,1,1,1,0,0,0,1
"618","2020.06.08.","2020","06","08",0,0,0,1,0,0,0,0,1,0,0,0,1,0,4,2,3,0,0,0,0,0,0,0,1,2
"619","2020.06.07.","2020","06","07",0,0,2,3,0,0,0,0,1,0,0,2,0,1,9,2,3,0,1,1,1,0,0,0,0,3
"620","2020.06.06.","2020","06","06",0,0,2,1,0,1,1,0,1,1,2,2,0,0,4,1,4,0,1,0,3,0,0,1,2,1
"621","2020.06.05.","2020","06","05",0,0,1,0,0,0,0,0,0,1,1,0,0,1,3,2,2,0,0,0,0,0,0,0,2,1
"622","2020.06.04.","2020","06","04",0,0,1,0,0,0,0,0,1,1,0,0,0,1,1,2,1,2,1,0,1,0,2,0,0,1
"623","2020.06.03.","2020","06","03",0,0,0,1,0,0,0,0,2,0,0,0,2,0,5,3,2,1,0,0,0,0,1,0,1,2
"624","2020.06.02.","2020","06","02",0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,0,0,3,0,1,2,0,1,1,0
"625","2020.06.01.","2020","06","01",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
"626","2020.05.31.","2020","05","31",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,3,0,0,0,0,0,0,0
"627","2020.05.30.","2020","05","30",1,0,0,1,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,2,1,0,0
"628","2020.05.29.","2020","05","29",0,1,0,2,0,0,0,0,1,0,0,0,2,2,0,4,0,1,2,1,0,0,0,1,0,2
"629","2020.05.28.","2020","05","28",0,0,0,3,1,0,0,0,1,0,0,2,1,1,1,3,3,0,1,1,1,0,0,1,1,3
"630","2020.05.27.","2020","05","27",0,0,0,8,0,0,0,0,0,1,1,2,0,0,0,3,1,1,0,0,2,0,0,0,0,1
"631","2020.05.26.","2020","05","26",0,0,0,3,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0
"632","2020.05.25.","2020","05","25",0,0,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0
"633","2020.05.24.","2020","05","24",0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
"634","2020.05.23.","2020","05","23",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
"635","2020.05.22.","2020","05","22",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"636","2020.05.21.","2020","05","21",0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
"637","2020.05.20.","2020","05","20",0,0,4,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0
